InningsID,MatchID,PlayerName,PlayerID,Team,RunsScored,BallsFaced,FoursCount,SixesCount,StrikeRate
INN_5001,M_1001,Rohit Sharma,IND_100,India,108,68,13,6,158.82
INN_5001,M_1001,Shubman Gill,IND_101,India,27,52,3,1,51.92
INN_5001,M_1001,Virat Kohli,IND_102,India,93,59,11,5,157.63
INN_5001,M_1001,Shreyas Iyer,IND_103,India,71,46,8,4,154.35
INN_5001,M_1001,KL Rahul,IND_104,India,122,69,15,7,176.81
INN_5001,M_1001,Hardik Pandya,IND_105,India,14,10,1,0,140
INN_5001,M_1001,Ravindra Jadeja,IND_106,India,21,25,2,1,84
INN_5001,M_1001,Kuldeep Yadav,IND_107,India,28,18,3,1,155.56
INN_5001,M_1001,Mohammed Shami,IND_108,India,26,21,3,1,123.81
INN_5001,M_1001,Jasprit Bumrah,IND_109,India,14,13,1,0,107.69
INN_5001,M_1001,Mohammed Siraj,IND_110,India,109,66,13,6,165.15
INN_5002,M_1001,Abdullah Shafique,PAK_145,Pakistan,28,30,3,1,93.33
INN_5002,M_1001,Fakhar Zaman,PAK_146,Pakistan,71,43,8,4,165.12
INN_5002,M_1001,Babar Azam,PAK_147,Pakistan,68,42,8,4,161.9
INN_5002,M_1001,Mohammad Rizwan,PAK_148,Pakistan,24,27,3,1,88.89
INN_5002,M_1001,Saud Shakeel,PAK_149,Pakistan,46,31,5,2,148.39
INN_5002,M_1001,Iftikhar Ahmed,PAK_150,Pakistan,65,71,8,4,91.55
INN_5002,M_1001,Shadab Khan,PAK_151,Pakistan,39,36,4,2,108.33
INN_5002,M_1001,Usama Mir,PAK_152,Pakistan,45,51,5,2,88.24
INN_5002,M_1001,Shaheen Afridi,PAK_153,Pakistan,46,30,5,2,153.33
INN_5002,M_1001,Haris Rauf,PAK_154,Pakistan,116,72,14,7,161.11
INN_5002,M_1001,Hasan Ali,PAK_155,Pakistan,30,20,3,1,150
INN_5003,M_1002,Rohit Sharma,IND_100,India,89,51,11,5,174.51
INN_5003,M_1002,Shubman Gill,IND_101,India,66,39,8,4,169.23
INN_5003,M_1002,Virat Kohli,IND_102,India,13,17,1,0,76.47
INN_5003,M_1002,Shreyas Iyer,IND_103,India,47,63,5,2,74.6
INN_5003,M_1002,KL Rahul,IND_104,India,33,51,4,2,64.71
INN_5003,M_1002,Hardik Pandya,IND_105,India,60,55,7,3,109.09
INN_5003,M_1002,Ravindra Jadeja,IND_106,India,17,13,2,1,130.77
INN_5003,M_1002,Kuldeep Yadav,IND_107,India,85,71,10,5,119.72
INN_5003,M_1002,Mohammed Shami,IND_108,India,18,35,2,1,51.43
INN_5003,M_1002,Jasprit Bumrah,IND_109,India,9,17,1,0,52.94
INN_5003,M_1002,Mohammed Siraj,IND_110,India,12,16,1,0,75
INN_5004,M_1002,Abdullah Shafique,PAK_145,Pakistan,17,32,2,1,53.12
INN_5004,M_1002,Fakhar Zaman,PAK_146,Pakistan,114,68,14,7,167.65
INN_5004,M_1002,Babar Azam,PAK_147,Pakistan,74,66,9,4,112.12
INN_5004,M_1002,Mohammad Rizwan,PAK_148,Pakistan,62,64,7,3,96.88
INN_5004,M_1002,Saud Shakeel,PAK_149,Pakistan,82,63,10,5,130.16
INN_5004,M_1002,Iftikhar Ahmed,PAK_150,Pakistan,15,9,1,0,166.67
INN_5004,M_1002,Shadab Khan,PAK_151,Pakistan,45,56,5,2,80.36
INN_5004,M_1002,Usama Mir,PAK_152,Pakistan,48,74,6,3,64.86
INN_5004,M_1002,Shaheen Afridi,PAK_153,Pakistan,121,73,15,7,165.75
INN_5004,M_1002,Haris Rauf,PAK_154,Pakistan,21,36,2,1,58.33
INN_5004,M_1002,Hasan Ali,PAK_155,Pakistan,58,45,7,3,128.89
INN_5005,M_1003,Jonny Bairstow,ENG_130,England,30,32,3,1,93.75
INN_5005,M_1003,Dawid Malan,ENG_131,England,45,66,5,2,68.18
INN_5005,M_1003,Joe Root,ENG_132,England,41,72,5,2,56.94
INN_5005,M_1003,Ben Stokes,ENG_133,England,118,79,14,7,149.37
INN_5005,M_1003,Jos Buttler,ENG_134,England,16,17,2,1,94.12
INN_5005,M_1003,Liam Livingstone,ENG_135,England,39,71,4,2,54.93
INN_5005,M_1003,Moeen Ali,ENG_136,England,40,37,5,2,108.11
INN_5005,M_1003,Chris Woakes,ENG_137,England,8,17,1,0,47.06
INN_5005,M_1003,David Willey,ENG_138,England,80,54,10,5,148.15
INN_5005,M_1003,Adil Rashid,ENG_139,England,51,30,6,3,170
INN_5005,M_1003,Mark Wood,ENG_140,England,118,78,14,7,151.28
INN_5006,M_1003,Abdullah Shafique,PAK_145,Pakistan,100,56,12,6,178.57
INN_5006,M_1003,Fakhar Zaman,PAK_146,Pakistan,22,37,2,1,59.46
INN_5006,M_1003,Babar Azam,PAK_147,Pakistan,37,22,4,2,168.18
INN_5006,M_1003,Mohammad Rizwan,PAK_148,Pakistan,22,14,2,1,157.14
INN_5006,M_1003,Saud Shakeel,PAK_149,Pakistan,51,72,6,3,70.83
INN_5006,M_1003,Iftikhar Ahmed,PAK_150,Pakistan,126,76,15,7,165.79
INN_5006,M_1003,Shadab Khan,PAK_151,Pakistan,30,22,3,1,136.36
INN_5006,M_1003,Usama Mir,PAK_152,Pakistan,40,24,5,2,166.67
INN_5006,M_1003,Shaheen Afridi,PAK_153,Pakistan,57,73,7,3,78.08
INN_5006,M_1003,Haris Rauf,PAK_154,Pakistan,15,9,1,0,166.67
INN_5006,M_1003,Hasan Ali,PAK_155,Pakistan,39,45,4,2,86.67
INN_5007,M_1004,Rohit Sharma,IND_100,India,11,17,1,0,64.71
INN_5007,M_1004,Shubman Gill,IND_101,India,17,21,2,1,80.95
INN_5007,M_1004,Virat Kohli,IND_102,India,23,14,2,1,164.29
INN_5007,M_1004,Shreyas Iyer,IND_103,India,43,51,5,2,84.31
INN_5007,M_1004,KL Rahul,IND_104,India,7,13,0,0,53.85
INN_5007,M_1004,Hardik Pandya,IND_105,India,69,46,8,4,150
INN_5007,M_1004,Ravindra Jadeja,IND_106,India,22,28,2,1,78.57
INN_5007,M_1004,Kuldeep Yadav,IND_107,India,7,9,0,0,77.78
INN_5007,M_1004,Mohammed Shami,IND_108,India,54,41,6,3,131.71
INN_5007,M_1004,Jasprit Bumrah,IND_109,India,34,54,4,2,62.96
INN_5007,M_1004,Mohammed Siraj,IND_110,India,16,27,2,1,59.26
INN_5008,M_1004,Abdullah Shafique,PAK_145,Pakistan,13,10,1,0,130
INN_5008,M_1004,Fakhar Zaman,PAK_146,Pakistan,52,37,6,3,140.54
INN_5008,M_1004,Babar Azam,PAK_147,Pakistan,51,66,6,3,77.27
INN_5008,M_1004,Mohammad Rizwan,PAK_148,Pakistan,47,72,5,2,65.28
INN_5008,M_1004,Saud Shakeel,PAK_149,Pakistan,25,49,3,1,51.02
INN_5008,M_1004,Iftikhar Ahmed,PAK_150,Pakistan,18,21,2,1,85.71
INN_5008,M_1004,Shadab Khan,PAK_151,Pakistan,49,58,6,3,84.48
INN_5008,M_1004,Usama Mir,PAK_152,Pakistan,25,17,3,1,147.06
INN_5008,M_1004,Shaheen Afridi,PAK_153,Pakistan,13,27,1,0,48.15
INN_5008,M_1004,Haris Rauf,PAK_154,Pakistan,13,17,1,0,76.47
INN_5008,M_1004,Hasan Ali,PAK_155,Pakistan,58,37,7,3,156.76
INN_5009,M_1005,Jonny Bairstow,ENG_130,England,18,12,2,1,150
INN_5009,M_1005,Dawid Malan,ENG_131,England,101,74,12,6,136.49
INN_5009,M_1005,Joe Root,ENG_132,England,31,50,3,1,62
INN_5009,M_1005,Ben Stokes,ENG_133,England,5,10,0,0,50
INN_5009,M_1005,Jos Buttler,ENG_134,England,67,46,8,4,145.65
INN_5009,M_1005,Liam Livingstone,ENG_135,England,66,51,8,4,129.41
INN_5009,M_1005,Moeen Ali,ENG_136,England,26,34,3,1,76.47
INN_5009,M_1005,Chris Woakes,ENG_137,England,76,43,9,4,176.74
INN_5009,M_1005,David Willey,ENG_138,England,52,45,6,3,115.56
INN_5009,M_1005,Adil Rashid,ENG_139,England,101,62,12,6,162.9
INN_5009,M_1005,Mark Wood,ENG_140,England,14,9,1,0,155.56
INN_5010,M_1005,Rohit Sharma,IND_100,India,8,9,1,0,88.89
INN_5010,M_1005,Shubman Gill,IND_101,India,112,80,14,7,140
INN_5010,M_1005,Virat Kohli,IND_102,India,15,22,1,0,68.18
INN_5010,M_1005,Shreyas Iyer,IND_103,India,8,8,1,0,100
INN_5010,M_1005,KL Rahul,IND_104,India,29,51,3,1,56.86
INN_5010,M_1005,Hardik Pandya,IND_105,India,15,21,1,0,71.43
INN_5010,M_1005,Ravindra Jadeja,IND_106,India,17,17,2,1,100
INN_5010,M_1005,Kuldeep Yadav,IND_107,India,72,79,9,4,91.14
INN_5010,M_1005,Mohammed Shami,IND_108,India,44,33,5,2,133.33
INN_5010,M_1005,Jasprit Bumrah,IND_109,India,13,25,1,0,52
INN_5010,M_1005,Mohammed Siraj,IND_110,India,47,66,5,2,71.21
INN_5011,M_1006,Abdullah Shafique,PAK_145,Pakistan,40,52,5,2,76.92
INN_5011,M_1006,Fakhar Zaman,PAK_146,Pakistan,22,14,2,1,157.14
INN_5011,M_1006,Babar Azam,PAK_147,Pakistan,122,71,15,7,171.83
