InningsID,MatchID,PlayerName,PlayerID,Team,OversBowled,RunsConceded,WicketsTaken,EconomyRate
INN_5001,M_1001,Iftikhar Ahmed,PAK_150,Pakistan,6,37,1,6.17
INN_5001,M_1001,Shadab Khan,PAK_151,Pakistan,5,31,1,6.2
INN_5001,M_1001,Usama Mir,PAK_152,Pakistan,1,8,3,8
INN_5001,M_1001,Shaheen Afridi,PAK_153,Pakistan,2,14,1,7
INN_5001,M_1001,Haris Rauf,PAK_154,Pakistan,9,71,3,7.89
INN_5001,M_1001,Hasan Ali,PAK_155,Pakistan,10,70,1,7
INN_5002,M_1001,Hardik Pandya,IND_105,India,9,52,3,5.78
INN_5002,M_1001,Ravindra Jadeja,IND_106,India,9,45,3,5
INN_5002,M_1001,Kuldeep Yadav,IND_107,India,8,49,0,6.12
INN_5002,M_1001,Mohammed Shami,IND_108,India,7,41,3,5.86
INN_5002,M_1001,Jasprit Bumrah,IND_109,India,6,29,2,4.83
INN_5002,M_1001,Mohammed Siraj,IND_110,India,4,34,3,8.5
INN_5003,M_1002,Iftikhar Ahmed,PAK_150,Pakistan,5,32,2,6.4
INN_5003,M_1002,Shadab Khan,PAK_151,Pakistan,1,7,2,7
INN_5003,M_1002,Usama Mir,PAK_152,Pakistan,7,61,1,8.71
INN_5003,M_1002,Shaheen Afridi,PAK_153,Pakistan,1,4,1,4
INN_5003,M_1002,Haris Rauf,PAK_154,Pakistan,4,31,3,7.75
INN_5003,M_1002,Hasan Ali,PAK_155,Pakistan,3,17,0,5.67
INN_5004,M_1002,Hardik Pandya,IND_105,India,6,31,3,5.17
INN_5004,M_1002,Ravindra Jadeja,IND_106,India,10,43,2,4.3
INN_5004,M_1002,Kuldeep Yadav,IND_107,India,10,55,3,5.5
INN_5004,M_1002,Mohammed Shami,IND_108,India,1,6,1,6
INN_5004,M_1002,Jasprit Bumrah,IND_109,India,3,23,1,7.67
INN_5004,M_1002,Mohammed Siraj,IND_110,India,2,13,1,6.5
INN_5005,M_1003,Iftikhar Ahmed,PAK_150,Pakistan,3,22,0,7.33
INN_5005,M_1003,Shadab Khan,PAK_151,Pakistan,5,32,2,6.4
INN_5005,M_1003,Usama Mir,PAK_152,Pakistan,4,18,3,4.5
INN_5005,M_1003,Shaheen Afridi,PAK_153,Pakistan,5,37,2,7.4
INN_5005,M_1003,Haris Rauf,PAK_154,Pakistan,4,34,3,8.5
INN_5005,M_1003,Hasan Ali,PAK_155,Pakistan,9,43,0,4.78
INN_5006,M_1003,Ben Stokes,ENG_133,England,7,61,0,8.71
INN_5006,M_1003,Liam Livingstone,ENG_135,England,6,52,2,8.67
INN_5006,M_1003,Moeen Ali,ENG_136,England,9,73,1,8.11
INN_5006,M_1003,Chris Woakes,ENG_137,England,6,34,3,5.67
INN_5006,M_1003,David Willey,ENG_138,England,5,25,1,5
INN_5006,M_1003,Adil Rashid,ENG_139,England,8,54,1,6.75
INN_5006,M_1003,Mark Wood,ENG_140,England,8,50,0,6.25
INN_5007,M_1004,Iftikhar Ahmed,PAK_150,Pakistan,4,27,2,6.75
INN_5007,M_1004,Shadab Khan,PAK_151,Pakistan,9,52,1,5.78
INN_5007,M_1004,Usama Mir,PAK_152,Pakistan,10,84,0,8.4
INN_5007,M_1004,Shaheen Afridi,PAK_153,Pakistan,1,8,1,8
INN_5007,M_1004,Haris Rauf,PAK_154,Pakistan,1,4,3,4
INN_5007,M_1004,Hasan Ali,PAK_155,Pakistan,1,5,2,5
INN_5008,M_1004,Hardik Pandya,IND_105,India,2,15,3,7.5
INN_5008,M_1004,Ravindra Jadeja,IND_106,India,9,53,3,5.89
INN_5008,M_1004,Kuldeep Yadav,IND_107,India,10,62,1,6.2
INN_5008,M_1004,Mohammed Shami,IND_108,India,9,60,3,6.67
INN_5008,M_1004,Jasprit Bumrah,IND_109,India,10,88,1,8.8
INN_5008,M_1004,Mohammed Siraj,IND_110,India,9,79,2,8.78
INN_5009,M_1005,Hardik Pandya,IND_105,India,9,71,2,7.89
INN_5009,M_1005,Ravindra Jadeja,IND_106,India,8,59,2,7.38
INN_5009,M_1005,Kuldeep Yadav,IND_107,India,3,14,0,4.67
INN_5009,M_1005,Mohammed Shami,IND_108,India,10,82,0,8.2
INN_5009,M_1005,Jasprit Bumrah,IND_109,India,2,10,0,5
INN_5009,M_1005,Mohammed Siraj,IND_110,India,6,35,1,5.83
INN_5010,M_1005,Ben Stokes,ENG_133,England,8,66,1,8.25
INN_5010,M_1005,Liam Livingstone,ENG_135,England,8,51,0,6.38
INN_5010,M_1005,Moeen Ali,ENG_136,England,6,47,3,7.83
INN_5010,M_1005,Chris Woakes,ENG_137,England,2,12,2,6
INN_5010,M_1005,David Willey,ENG_138,England,9,42,3,4.67
INN_5010,M_1005,Adil Rashid,ENG_139,England,5,25,1,5
INN_5010,M_1005,Mark Wood,ENG_140,England,6,49,0,8.17
INN_5011,M_1006,Hardik Pandya,IND_105,India,9,56,1,6.22
INN_5011,M_1006,Ravindra Jadeja,IND_106,India,9,64,1,7.11
INN_5011,M_1006,Kuldeep Yadav,IND_107,India,2,9,3,4.5
INN_5011,M_1006,Mohammed Shami,IND_108,India,2,9,1,4.5
INN_5011,M_1006,Jasprit Bumrah,IND_109,India,10,78,3,7.8
