PlayerID,PlayerName,Team,PlayingRole,AgeProfile
IND_100,Rohit Sharma,India,Batsman,24 yrs
IND_101,Shubman Gill,India,Batsman,27 yrs
IND_102,Virat Kohli,India,Batsman,29 yrs
IND_103,Shreyas Iyer,India,Batsman,35 yrs
IND_104,KL Rahul,India,Batsman,26 yrs
IND_105,Hardik Pandya,India,All-Rounder,22 yrs
IND_106,Ravindra Jadeja,India,All-Rounder,31 yrs
IND_107,Kuldeep Yadav,India,Bowler,32 yrs
IND_108,Mohammed Shami,India,Bowler,29 yrs
IND_109,Jasprit Bumrah,India,Bowler,23 yrs
IND_110,Mohammed Siraj,India,Bowler,35 yrs
IND_111,Ishan Kishan,India,Batsman,23 yrs
IND_112,Suryakumar Yadav,India,All-Rounder,32 yrs
IND_113,R. Ashwin,India,All-Rounder,24 yrs
IND_114,Shardul Thakur,India,Bowler,33 yrs
AUS_115,David Warner,Australia,Batsman,32 yrs
AUS_116,Travis Head,Australia,Batsman,30 yrs
AUS_117,Mitchell Marsh,Australia,All-Rounder,22 yrs
AUS_118,Steve Smith,Australia,Batsman,26 yrs
AUS_119,Marnus Labuschagne,Australia,Batsman,33 yrs
AUS_120,Glenn Maxwell,Australia,All-Rounder,25 yrs
AUS_121,Josh Inglis,Australia,Batsman,28 yrs
AUS_122,Pat Cummins,Australia,Bowler,36 yrs
AUS_123,Mitchell Starc,Australia,Bowler,22 yrs
AUS_124,Adam Zampa,Australia,Bowler,33 yrs
AUS_125,Josh Hazlewood,Australia,Bowler,28 yrs
AUS_126,Cameron Green,Australia,All-Rounder,34 yrs
AUS_127,Alex Carey,Australia,Batsman,25 yrs
AUS_128,Marcus Stoinis,Australia,All-Rounder,26 yrs
AUS_129,Sean Abbott,Australia,Bowler,33 yrs
ENG_130,Jonny Bairstow,England,Batsman,27 yrs
ENG_131,Dawid Malan,England,Batsman,22 yrs
ENG_132,Joe Root,England,Batsman,36 yrs
ENG_133,Ben Stokes,England,All-Rounder,34 yrs
ENG_134,Jos Buttler,England,Batsman,30 yrs
ENG_135,Liam Livingstone,England,All-Rounder,26 yrs
ENG_136,Moeen Ali,England,All-Rounder,27 yrs
ENG_137,Chris Woakes,England,Bowler,28 yrs
ENG_138,David Willey,England,Bowler,24 yrs
ENG_139,Adil Rashid,England,Bowler,24 yrs
ENG_140,Mark Wood,England,Bowler,24 yrs
ENG_141,Harry Brook,England,Batsman,36 yrs
ENG_142,Sam Curran,England,All-Rounder,28 yrs
ENG_143,Reece Topley,England,Bowler,33 yrs
ENG_144,Gus Atkinson,England,Bowler,31 yrs
PAK_145,Abdullah Shafique,Pakistan,Batsman,23 yrs
PAK_146,Fakhar Zaman,Pakistan,Batsman,27 yrs
PAK_147,Babar Azam,Pakistan,Batsman,28 yrs
PAK_148,Mohammad Rizwan,Pakistan,Batsman,29 yrs
PAK_149,Saud Shakeel,Pakistan,Batsman,25 yrs
PAK_150,Iftikhar Ahmed,Pakistan,All-Rounder,29 yrs
PAK_151,Shadab Khan,Pakistan,All-Rounder,28 yrs
PAK_152,Usama Mir,Pakistan,Bowler,27 yrs
PAK_153,Shaheen Afridi,Pakistan,Bowler,29 yrs
PAK_154,Haris Rauf,Pakistan,Bowler,28 yrs
PAK_155,Hasan Ali,Pakistan,Bowler,35 yrs
PAK_156,Imam-ul-Haq,Pakistan,Batsman,32 yrs
PAK_157,Agha Salman,Pakistan,Batsman,36 yrs
PAK_158,Mohammad Nawaz,Pakistan,All-Rounder,24 yrs
PAK_159,Mohammad Wasim,Pakistan,Bowler,23 yrs
